Unnamed: 0,Authorization Group,Bus. Transac. Type,Calculate Tax,Cash Flow-Relevant Doc.,Cleared Item,Clearing Date,Clearing Entry Date,Clearing Fiscal Year,Country Key,Currency,Debit/Credit ind,Transaction Value,Document Is Back-Posted,Exchange rate,Fiscal Year.1,Fiscal Year.2,Posting period.1,Ref. Doc. Line Item
0,60,RFBU,,False,Not Selected,,,,US,USD,S,370374.0,X,,2017.0,2018,12,1
1,60,RFBU,,False,Not Selected,,,,US,USD,S,342954.98,X,,2017.0,2018,12,4
2,60,RFBU,,False,Not Selected,,,,US,USD,H,-55894.75,X,,2018.0,2018,12,2
3,60,RFBU,,False,Not Selected,,,,US,USD,S,51250.12,X,,2017.0,2018,12,1
4,60,RFBU,,False,Not Selected,,,,US,USD,H,-186712.0,X,,2015.0,2018,12,2
5,60,RFBU,,False,Not Selected,,,,US,USD,S,26313.0,X,,2018.0,2018,12,2
6,60,RFBU,,False,Not Selected,,,,US,USD,H,-79956.81,X,,2018.0,2018,12,2
7,60,RFBU,,False,Not Selected,,,,US,USD,H,-1549.23,X,,2018.0,2018,12,7
8,60,RFBU,,False,Not Selected,,,,US,USD,H,-280829.84,X,,2018.0,2018,12,1
9,60,RFBU,,False,Not Selected,,,,US,USD,S,7962.04,X,,2017.0,2018,12,2
10,60,RFBU,,False,Not Selected,,,,US,USD,H,-9875.0,,,,2019,2,4
11,60,RFBU,,False,Not Selected,,,,US,USD,H,-54191.49,X,,2017.0,2018,12,3
12,60,RFBU,,False,Not Selected,,,,US,USD,H,-541564.0,X,,2017.0,2018,12,2
13,60,RFBU,,False,Not Selected,,,,US,USD,S,40231.0,X,,2018.0,2018,12,1
14,60,RFBU,,False,Not Selected,,,,US,USD,S,48214.89,X,,2017.0,2018,12,1
15,60,RFBU,,False,Not Selected,,,,US,USD,H,-20191.0,X,,2018.0,2018,12,1
16,60,RFBU,,False,Not Selected,,,,US,USD,H,-622711.69,X,,2009.0,2018,12,2
17,60,RFBU,,False,Not Selected,,,,US,USD,H,-535567.39,X,,2017.0,2018,12,1
18,60,RFBU,,False,Not Selected,,,,US,USD,S,8149.27,X,,2017.0,2018,12,1
19,60,RFBU,,False,Not Selected,,,,US,USD,H,-25644.86,X,,2016.0,2018,12,1
20,60,RFBU,,False,Not Selected,,,,US,USD,H,-39197.95,X,,2018.0,2018,12,2
21,60,RFBU,,False,Not Selected,,,,US,USD,H,-34360.81,X,,2017.0,2018,12,1
22,60,RFBU,,False,Not Selected,,,,US,USD,H,-51716.68,X,,2018.0,2018,12,3
23,60,RFBU,,False,Not Selected,,,,US,USD,H,-24186.0,X,,2008.0,2018,12,2
24,60,RFBU,,False,Not Selected,,,,US,USD,H,-115537.75,X,,2018.0,2018,12,4
25,60,RFBU,,False,Not Selected,,,,US,USD,S,24484.0,X,,2008.0,2018,12,1
26,60,RFBU,,False,Not Selected,,,,US,USD,S,33182.0,X,,2018.0,2018,12,2
27,60,RFBU,,False,Not Selected,,,,US,USD,S,213865.0,X,,2016.0,2018,12,1
28,60,RFBU,,False,Not Selected,,,,US,USD,H,-1281.86,X,,2017.0,2018,12,5
29,60,RFBU,,False,Not Selected,,,,US,USD,H,-23565.82,X,,2017.0,2018,12,1
30,60,RFBU,,False,Not Selected,,,,US,USD,S,400182.45,X,,2018.0,2018,12,1
31,60,RFBU,,False,Not Selected,,,,US,USD,S,326990.37,X,,2009.0,2018,12,2
32,60,RFBU,,False,Not Selected,,,,US,USD,H,-99983.02,X,,2018.0,2018,12,3
33,60,RFBU,,False,Not Selected,,,,US,USD,H,-84712.0,X,,2018.0,2018,12,2
34,60,RFBU,,False,Not Selected,,,,US,USD,H,-12829.17,X,,2016.0,2018,12,2
35,60,RFBU,,False,Not Selected,,,,US,USD,H,-5414.73,X,,2018.0,2018,12,1
36,60,RFBU,,False,Not Selected,,,,US,USD,H,-27109.48,X,,2018.0,2018,12,1
37,60,RFBU,,False,Not Selected,,,,US,USD,S,394673.75,X,,2018.0,2018,12,2
38,60,RFBU,,False,Not Selected,,,,US,USD,H,-1075960.83,X,,2017.0,2018,12,1
39,60,RFBU,,False,Not Selected,,,,US,USD,H,-249.18,X,,2018.0,2018,12,6
40,60,RFBU,,False,Not Selected,,,,US,USD,H,-125602.0,X,,2018.0,2018,12,1
